DDInterID_A,Drug_A,DDInterID_B,Drug_B,Level,Mechanism,atc_category
DDInter1263,Naltrexone,DDInter1,Abacavir,2,Unknown,Alimentary Tract And Metabolism
DDInter1,Abacavir,DDInter1348,Orlistat,2,Unknown,Alimentary Tract And Metabolism
DDInter58,Aluminum hydroxide,DDInter582,Dolutegravir,3,Unknown,Alimentary Tract And Metabolism
DDInter112,Aprepitant,DDInter582,Dolutegravir,1,Unknown,Alimentary Tract And Metabolism
DDInter138,Attapulgite,DDInter582,Dolutegravir,3,Unknown,Alimentary Tract And Metabolism
DDInter270,Calcium acetate,DDInter582,Dolutegravir,3,Unknown,Alimentary Tract And Metabolism
DDInter271,Calcium carbonate,DDInter582,Dolutegravir,3,Unknown,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter273,Calcium citrate,3,Unknown,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter274,Calcium glubionate anhydrous,3,Unknown,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter276,Calcium gluconate,3,Unknown,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter278,Calcium lactate,3,Unknown,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter279,Calcium Phosphate,3,Unknown,Alimentary Tract And Metabolism
DDInter975,Iron,DDInter582,Dolutegravir,3,Unknown,Alimentary Tract And Metabolism
DDInter380,Cimetidine,DDInter582,Dolutegravir,1,Unknown,Alimentary Tract And Metabolism
DDInter393,Clarithromycin,DDInter582,Dolutegravir,1,Unknown,Alimentary Tract And Metabolism
DDInter416,Clotrimazole,DDInter582,Dolutegravir,1,Unknown,Alimentary Tract And Metabolism
DDInter513,Dexamethasone,DDInter582,Dolutegravir,1,Unknown,Alimentary Tract And Metabolism
DDInter1005,Kaolin,DDInter582,Dolutegravir,3,Absorption,Alimentary Tract And Metabolism
DDInter1019,Lamivudine,DDInter1016,Lactitol,2,Unknown,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter1112,Magaldrate,3,Absorption,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter1113,Magnesium carbonate,3,Absorption,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter1114,Magnesium chloride,3,Absorption,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter1115,Magnesium citrate,3,Absorption,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter1116,Magnesium gluconate,3,Absorption,Alimentary Tract And Metabolism
DDInter582,Dolutegravir,DDInter1118,Magnesium hydroxide,3,Absorption,Alimentary Tract And Metabolism
DDInter1119,Magnesium oxide,DDInter582,Dolutegravir,3,Absorption,Alimentary Tract And Metabolism
DDInter1120,Magnesium sulfate,DDInter582,Dolutegravir,3,Absorption,Alimentary Tract And Metabolism
DDInter1019,Lamivudine,DDInter1123,Mannitol,2,Unknown,Alimentary Tract And Metabolism
DDInter1164,Metformin,DDInter582,Dolutegravir,2,Unknown,Alimentary Tract And Metabolism
DDInter1209,Miconazole,DDInter582,Dolutegravir,1,Unknown,Alimentary Tract And Metabolism
DDInter1263,Naltrexone,DDInter1019,Lamivudine,2,Unknown,Alimentary Tract And Metabolism
DDInter1019,Lamivudine,DDInter1348,Orlistat,2,Unknown,Alimentary Tract And Metabolism
DDInter1019,Lamivudine,DDInter1703,Sorbitol,2,Others,Alimentary Tract And Metabolism
DDInter1717,Sucralfate,DDInter582,Dolutegravir,3,Absorption,Alimentary Tract And Metabolism
DDInter1881,Troglitazone,DDInter582,Dolutegravir,1,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter85,Amphotericin B,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter86,Amphotericin B (cholesteryl sulfate),2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter87,Amphotericin B (lipid complex),2,Unknown,Alimentary Tract And Metabolism
DDInter195,Betamethasone,DDInter1961,Zidovudine,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter246,Budesonide,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter380,Cimetidine,1,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter393,Clarithromycin,1,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter513,Dexamethasone,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter885,Hydrocortisone,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter1263,Naltrexone,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter1513,Prednisolone,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter1515,Prednisone,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter1622,Rosuvastatin,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter1675,Simvastatin,2,Unknown,Alimentary Tract And Metabolism
DDInter1961,Zidovudine,DDInter1855,Triamcinolone,2,Unknown,Alimentary Tract And Metabolism
DDInter269,Calcitriol (topical),DDInter2,Abaloparatide,2,Unknown,Alimentary Tract And Metabolism
DDInter52,Alosetron,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter112,Aprepitant,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter195,Betamethasone,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter246,Budesonide,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter252,Bupropion,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter385,Cisapride,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter393,Clarithromycin,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter513,Dexamethasone,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter519,Dexlansoprazole,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter581,Dolasetron,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter601,Dronabinol,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter629,Eliglustat,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter676,Esomeprazole,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter831,Glyburide,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter840,Granisetron,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter885,Hydrocortisone,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1022,Lansoprazole,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1070,Linagliptin,DDInter3,Abametapir (topical),2,Metabolism,Alimentary Tract And Metabolism
DDInter1258,Naldemedine,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1261,Naloxegol,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1269,Nateglinide,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1300,Nitisinone,DDInter3,Abametapir (topical),2,Metabolism,Alimentary Tract And Metabolism
DDInter1340,Omeprazole,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1342,Ondansetron,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1388,Pantoprazole,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1472,Pioglitazone,DDInter3,Abametapir (topical),2,Metabolism,Alimentary Tract And Metabolism
DDInter1513,Prednisolone,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1515,Prednisone,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1559,Rabeprazole,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1581,Repaglinide,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1615,Rolapitant,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1646,Saxagliptin,DDInter3,Abametapir (topical),2,Metabolism,Alimentary Tract And Metabolism
DDInter1665,Sibutramine,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1675,Simvastatin,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1811,Tinidazole,DDInter3,Abametapir (topical),2,Metabolism,Alimentary Tract And Metabolism
DDInter1855,Triamcinolone,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter1881,Troglitazone,DDInter3,Abametapir (topical),2,Unknown,Alimentary Tract And Metabolism
DDInter5,Abatacept,DDInter1963,Zinc acetate,1,Unknown,Alimentary Tract And Metabolism
DDInter5,Abatacept,DDInter1965,Zinc gluconate,1,Unknown,Alimentary Tract And Metabolism
DDInter5,Abatacept,DDInter1966,Zinc sulfate,1,Unknown,Alimentary Tract And Metabolism
DDInter6,Abciximab,DDInter20,Acetylsalicylic acid,2,Unknown,Alimentary Tract And Metabolism
DDInter6,Abciximab,DDInter518,Dexfenfluramine,2,Unknown,Alimentary Tract And Metabolism
DDInter6,Abciximab,DDInter717,Fenfluramine,2,Unknown,Alimentary Tract And Metabolism
DDInter6,Abciximab,DDInter1665,Sibutramine,2,Unknown,Alimentary Tract And Metabolism
DDInter112,Aprepitant,DDInter7,Abemaciclib,2,Unknown,Alimentary Tract And Metabolism
DDInter393,Clarithromycin,DDInter7,Abemaciclib,3,Unknown,Alimentary Tract And Metabolism
DDInter416,Clotrimazole,DDInter7,Abemaciclib,2,Unknown,Alimentary Tract And Metabolism
DDInter513,Dexamethasone,DDInter7,Abemaciclib,2,Unknown,Alimentary Tract And Metabolism
DDInter1164,Metformin,DDInter7,Abemaciclib,2,Unknown,Alimentary Tract And Metabolism
DDInter1201,Metreleptin,DDInter7,Abemaciclib,2,Metabolism,Alimentary Tract And Metabolism
DDInter1263,Naltrexone,DDInter7,Abemaciclib,2,Unknown,Alimentary Tract And Metabolism
DDInter1881,Troglitazone,DDInter7,Abemaciclib,2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter212,Bisacodyl,2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter307,Castor oil,2,Unknown,Alimentary Tract And Metabolism
DDInter385,Cisapride,DDInter8,Abiraterone,3,Unknown,Alimentary Tract And Metabolism
DDInter393,Clarithromycin,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter518,Dexfenfluramine,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter581,Dolasetron,DDInter8,Abiraterone,3,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter629,Eliglustat,3,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter632,Eluxadoline,2,Unknown,Alimentary Tract And Metabolism
DDInter712,Famotidine,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter717,Fenfluramine,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter832,Glycerin,2,Unknown,Alimentary Tract And Metabolism
DDInter840,Granisetron,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter1016,Lactitol,2,Unknown,Alimentary Tract And Metabolism
DDInter1018,Lactulose,DDInter8,Abiraterone,2,Synergy,Alimentary Tract And Metabolism
DDInter1055,Levofloxacin,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter1088,Loperamide,DDInter8,Abiraterone,3,Metabolism,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter1115,Magnesium citrate,2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter1118,Magnesium hydroxide,2,Unknown,Alimentary Tract And Metabolism
DDInter1197,Metoclopramide,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter1202,Metronidazole,DDInter8,Abiraterone,1,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter1223,Mineral oil,2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter1261,Naloxegol,1,Unknown,Alimentary Tract And Metabolism
DDInter1263,Naltrexone,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter1300,Nitisinone,DDInter8,Abiraterone,2,Metabolism,Alimentary Tract And Metabolism
DDInter1342,Ondansetron,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter1382,Palonosetron,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter1389,Papaverine,DDInter8,Abiraterone,3,Synergy,Alimentary Tract And Metabolism
DDInter1443,Phenolphthalein,DDInter8,Abiraterone,2,Synergy,Alimentary Tract And Metabolism
DDInter1472,Pioglitazone,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter1488,Polyethylene glycol (3350),2,Unknown,Alimentary Tract And Metabolism
DDInter8,Abiraterone,DDInter1487,Polyethylene glycol (3350 with electrolytes),2,Unknown,Alimentary Tract And Metabolism
DDInter1581,Repaglinide,DDInter8,Abiraterone,2,Unknown,Alimentary Tract And Metabolism
DDInter1621,Rosiglitazone,DDInter8,Abiraterone,2,Metabolism,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter136,Atropine,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter397,Clidinium,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter543,Dicyclomine,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter834,Glycopyrronium,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter896,Hyoscyamine,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1004,Kanamycin,3,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1149,Mepenzolate,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1180,Methscopolamine,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1277,Neomycin,3,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1489,Polymyxin B,3,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1535,Propantheline,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1647,Scopolamine,2,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1713,Streptomycin,3,Unknown,Alimentary Tract And Metabolism
DDInter225,Botulinum toxin type A,DDInter1886,Trospium,2,Unknown,Alimentary Tract And Metabolism
DDInter112,Aprepitant,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter124,Ascorbic acid,DDInter1377,Paclitaxel,1,Unknown,Alimentary Tract And Metabolism
DDInter380,Cimetidine,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter393,Clarithromycin,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter416,Clotrimazole,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter1377,Paclitaxel,DDInter513,Dexamethasone,2,Unknown,Alimentary Tract And Metabolism
DDInter1377,Paclitaxel,DDInter629,Eliglustat,2,Unknown,Alimentary Tract And Metabolism
DDInter1055,Levofloxacin,DDInter1377,Paclitaxel,1,Unknown,Alimentary Tract And Metabolism
DDInter1202,Metronidazole,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter1209,Miconazole,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter1377,Paclitaxel,DDInter1615,Rolapitant,2,Unknown,Alimentary Tract And Metabolism
DDInter1622,Rosuvastatin,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter1675,Simvastatin,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter1811,Tinidazole,DDInter1377,Paclitaxel,2,Synergy,Alimentary Tract And Metabolism
DDInter1881,Troglitazone,DDInter1377,Paclitaxel,2,Unknown,Alimentary Tract And Metabolism
DDInter195,Betamethasone,DDInter991,Isotretinoin,2,Unknown,Alimentary Tract And Metabolism
DDInter991,Isotretinoin,DDInter246,Budesonide,2,Unknown,Alimentary Tract And Metabolism
DDInter991,Isotretinoin,DDInter513,Dexamethasone,2,Unknown,Alimentary Tract And Metabolism
DDInter598,Doxycycline,DDInter991,Isotretinoin,3,Unknown,Alimentary Tract And Metabolism
DDInter885,Hydrocortisone,DDInter991,Isotretinoin,2,Unknown,Alimentary Tract And Metabolism
DDInter991,Isotretinoin,DDInter1224,Minocycline,3,Synergy,Alimentary Tract And Metabolism
DDInter1263,Naltrexone,DDInter991,Isotretinoin,2,Unknown,Alimentary Tract And Metabolism
DDInter1300,Nitisinone,DDInter991,Isotretinoin,2,Metabolism,Alimentary Tract And Metabolism
DDInter1513,Prednisolone,DDInter991,Isotretinoin,2,Unknown,Alimentary Tract And Metabolism
DDInter1515,Prednisone,DDInter991,Isotretinoin,2,Unknown,Alimentary Tract And Metabolism
DDInter1783,Tetracycline,DDInter991,Isotretinoin,3,Synergy,Alimentary Tract And Metabolism
DDInter1855,Triamcinolone,DDInter991,Isotretinoin,2,Unknown,Alimentary Tract And Metabolism
DDInter1941,Vitamin A,DDInter991,Isotretinoin,3,Synergy,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter59,Alvimopan,3,Unknown,Alimentary Tract And Metabolism
DDInter112,Aprepitant,DDInter722,Fentanyl,3,Unknown,Alimentary Tract And Metabolism
DDInter136,Atropine,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter252,Bupropion,3,Unknown,Alimentary Tract And Metabolism
DDInter380,Cimetidine,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter393,Clarithromycin,3,Unknown,Alimentary Tract And Metabolism
DDInter397,Clidinium,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter416,Clotrimazole,DDInter722,Fentanyl,3,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter513,Dexamethasone,3,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter518,Dexfenfluramine,3,Unknown,Alimentary Tract And Metabolism
DDInter543,Dicyclomine,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter581,Dolasetron,DDInter722,Fentanyl,3,Unknown,Alimentary Tract And Metabolism
DDInter601,Dronabinol,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter632,Eluxadoline,2,Unknown,Alimentary Tract And Metabolism
DDInter717,Fenfluramine,DDInter722,Fentanyl,3,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter833,Glycerol phenylbutyrate,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter834,Glycopyrronium,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter840,Granisetron,3,Unknown,Alimentary Tract And Metabolism
DDInter896,Hyoscyamine,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1093,Lorcaserin,3,Unknown,Alimentary Tract And Metabolism
DDInter1126,Mazindol,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1149,Mepenzolate,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1180,Methscopolamine,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1197,Metoclopramide,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1201,Metreleptin,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1209,Miconazole,2,Unknown,Alimentary Tract And Metabolism
DDInter1244,Morphine,DDInter722,Fentanyl,3,Synergy,Alimentary Tract And Metabolism
DDInter1245,Morphine (liposomal),DDInter722,Fentanyl,3,Synergy,Alimentary Tract And Metabolism
DDInter1253,Nabilone,DDInter722,Fentanyl,2,Synergy,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1262,Naloxone,2,Unknown,Alimentary Tract And Metabolism
DDInter1263,Naltrexone,DDInter722,Fentanyl,3,Antagonism,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1342,Ondansetron,3,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1344,Opium,2,Unknown,Alimentary Tract And Metabolism
DDInter1382,Palonosetron,DDInter722,Fentanyl,3,Synergy,Alimentary Tract And Metabolism
DDInter1447,Phentermine,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1487,Polyethylene glycol (3350 with electrolytes),2,Unknown,Alimentary Tract And Metabolism
DDInter1535,Propantheline,DDInter722,Fentanyl,2,Synergy,Alimentary Tract And Metabolism
DDInter1647,Scopolamine,DDInter722,Fentanyl,2,Synergy,Alimentary Tract And Metabolism
DDInter722,Fentanyl,DDInter1665,Sibutramine,3,Unknown,Alimentary Tract And Metabolism
DDInter1881,Troglitazone,DDInter722,Fentanyl,2,Unknown,Alimentary Tract And Metabolism
DDInter1886,Trospium,DDInter722,Fentanyl,2,Synergy,Alimentary Tract And Metabolism
DDInter58,Aluminum hydroxide,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter112,Aprepitant,DDInter9,Acalabrutinib,3,Unknown,Alimentary Tract And Metabolism
DDInter20,Acetylsalicylic acid,DDInter9,Acalabrutinib,3,Unknown,Alimentary Tract And Metabolism
DDInter271,Calcium carbonate,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter380,Cimetidine,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter393,Clarithromycin,DDInter9,Acalabrutinib,3,Unknown,Alimentary Tract And Metabolism
DDInter416,Clotrimazole,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter513,Dexamethasone,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter518,Dexfenfluramine,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter519,Dexlansoprazole,DDInter9,Acalabrutinib,3,Unknown,Alimentary Tract And Metabolism
DDInter676,Esomeprazole,DDInter9,Acalabrutinib,3,Unknown,Alimentary Tract And Metabolism
DDInter712,Famotidine,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter717,Fenfluramine,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter833,Glycerol phenylbutyrate,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1022,Lansoprazole,DDInter9,Acalabrutinib,3,Absorption,Alimentary Tract And Metabolism
DDInter1112,Magaldrate,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1113,Magnesium carbonate,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1118,Magnesium hydroxide,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1119,Magnesium oxide,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1201,Metreleptin,DDInter9,Acalabrutinib,2,Metabolism,Alimentary Tract And Metabolism
DDInter1209,Miconazole,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1309,Nizatidine,DDInter9,Acalabrutinib,2,Absorption,Alimentary Tract And Metabolism
DDInter1340,Omeprazole,DDInter9,Acalabrutinib,3,Absorption,Alimentary Tract And Metabolism
DDInter1388,Pantoprazole,DDInter9,Acalabrutinib,3,Absorption,Alimentary Tract And Metabolism
DDInter1559,Rabeprazole,DDInter9,Acalabrutinib,3,Absorption,Alimentary Tract And Metabolism
DDInter1568,Ranitidine,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1569,Ranitidine (bismuth citrate),DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1665,Sibutramine,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter1881,Troglitazone,DDInter9,Acalabrutinib,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter15,Acetazolamide,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter36,Albiglutide,1,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter1632,Salbutamol,2,Unknown,Alimentary Tract And Metabolism
DDInter37,Alclometasone (topical),DDInter11,Acarbose,1,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter50,Aloe Vera Leaf,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter53,Alpelisib,2,Unknown,Alimentary Tract And Metabolism
DDInter1076,Lipoic acid,DDInter11,Acarbose,1,Synergy,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter63,Amcinonide,1,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter90,Amprenavir,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter98,Anisindione,1,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter118,Aripiprazole,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter125,Asenapine,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter126,Asparaginase Erwinia chrysanthemi,2,Unknown,Alimentary Tract And Metabolism
DDInter127,Asparaginase Escherichia coli,DDInter11,Acarbose,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter129,Atazanavir,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter170,Bedaquiline,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter179,Bendroflumethiazide,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter187,Benzphetamine,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter188,Benzthiazide,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter195,Betamethasone,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter196,Betamethasone (topical),1,Unknown,Alimentary Tract And Metabolism
DDInter222,Bortezomib,DDInter11,Acarbose,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter228,Brentuximab vedotin,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter231,Brexpiprazole,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter233,Brigatinib,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter248,Bumetanide,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter264,Calaspargase pegol,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter284,Cannabidiol,2,Unknown,Alimentary Tract And Metabolism
DDInter11,Acarbose,DDInter300,Cariprazine,2,Unknown,Alimentary Tract And Metabolism
